AIRCRAFT_TYPE,AIRCRAFT_DESCRIPTION,AIRCRAFT_FAMILY,ASSET_KEY,ASSET_PATH,SOURCE_PAGE,SOURCE_IMAGE_URL,ASSET_ORIGIN,STATUS
696,Airbus Industrie A330-200,Airbus A330,a330,assets/aircraft/a330.jpg,assets/user_aircraft_sources/A330.webp,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
698,Airbus Industrie A319,Airbus A319,a319,assets/aircraft/a319.jpg,https://en.wikipedia.org/wiki/Airbus_A319,,WIKIPEDIA_LEAD_IMAGE,MATCHED
699,Airbus Industrie A321Neolr,Airbus A321,a321,assets/aircraft/a321.jpg,assets/user_aircraft_sources/A321.png,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
721,Airbus Industrie A321-200n,Airbus A321,a321,assets/aircraft/a321.jpg,assets/user_aircraft_sources/A321.png,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
722,Airbus Industrie A320-200n,Airbus A320,a320,assets/aircraft/a320.jpg,assets/user_aircraft_sources/A320.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
723,A200-100 BD-500-1A10,Airbus A220,a220,assets/aircraft/a220.jpg,https://en.wikipedia.org/wiki/Airbus_A220,,WIKIPEDIA_LEAD_IMAGE,MATCHED
724,A220-300 BD-500-1A11,Airbus A220,a220,assets/aircraft/a220.jpg,https://en.wikipedia.org/wiki/Airbus_A220,,WIKIPEDIA_LEAD_IMAGE,MATCHED
748,Embraer EMB195,Embraer E-Jet / ERJ,ejet,assets/aircraft/ejet.jpg,https://en.wikipedia.org/wiki/Embraer_E-Jet_family,,WIKIPEDIA_LEAD_IMAGE,MATCHED
817,Boeing 747-200/300,Boeing 747,b747,assets/aircraft/b747.jpg,assets/user_aircraft_sources/B747.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
819,Boeing 747-400,Boeing 747,b747,assets/aircraft/b747.jpg,assets/user_aircraft_sources/B747.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
820,Boeing 747-400F,Boeing 747,b747,assets/aircraft/b747.jpg,assets/user_aircraft_sources/B747.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
821,Boeing B747-8,Boeing 747,b747,assets/aircraft/b747.jpg,assets/user_aircraft_sources/B747.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
824,Airbus A330-900neo,Airbus A330,a330,assets/aircraft/a330.jpg,assets/user_aircraft_sources/A330.webp,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
836,Airbus 350-1000,Airbus A350,a350,assets/aircraft/a350.jpg,assets/user_aircraft_sources/A350.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
837,Boeing 787-10 Dreamliner,Boeing 787,b787,assets/aircraft/b787.jpg,assets/user_aircraft_sources/B787.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
838,Boeing B737 Max 800,Boeing 737,b737,assets/aircraft/b737.jpg,assets/user_aircraft_sources/B737.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
839,Boeing B737 Max 900,Boeing 737,b737,assets/aircraft/b737.jpg,assets/user_aircraft_sources/B737.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
871,Airbus Industrie A340-300,Airbus A340,a340,assets/aircraft/a340.jpg,https://en.wikipedia.org/wiki/Airbus_A340,,WIKIPEDIA_LEAD_IMAGE,MATCHED
874,Airbus Industrie A340-600,Airbus A340,a340,assets/aircraft/a340.jpg,https://en.wikipedia.org/wiki/Airbus_A340,,WIKIPEDIA_LEAD_IMAGE,MATCHED
881,Ilyushiin Il-96-400t,Ilyushiin Il-96-400t,il96,assets/aircraft/il96.jpg,https://en.wikipedia.org/wiki/Ilyushin_Il-96,,WIKIPEDIA_LEAD_IMAGE,MATCHED
882,Airbus Industrie A380-800,Airbus A380,a380,assets/aircraft/a380.jpg,assets/user_aircraft_sources/A380.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
887,B787-800 Dreamliner,Boeing 787,b787,assets/aircraft/b787.jpg,assets/user_aircraft_sources/B787.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
888,Boeing 737-900ER,Boeing 737,b737,assets/aircraft/b737.jpg,assets/user_aircraft_sources/B737.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
889,B787-900 Dreamliner,Boeing 787,b787,assets/aircraft/b787.jpg,assets/user_aircraft_sources/B787.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
894,Boeing 737 Max 8-200,Boeing 737,b737,assets/aircraft/b737.jpg,assets/user_aircraft_sources/B737.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
